2016/01/04,13820,13820,13720,13720,71,13720
2016/01/05,13700,13750,13700,13720,22,13720
2016/01/06,13710,13710,13600,13610,82,13610
2016/01/07,13640,13650,13600,13600,12,13600
2016/01/08,13570,13570,13300,13440,200,13440
2016/01/12,13260,13360,13250,13250,47,13250
2016/01/13,13270,13440,13270,13440,26,13440
2016/01/14,13430,13440,13300,13440,30,13440
2016/01/15,13280,13390,13270,13330,28,13330
2016/01/18,13200,13440,13150,13300,107,13300
2016/01/19,13440,13440,13230,13430,128,13430
2016/01/20,13250,13250,13000,13180,188,13180
2016/01/21,13100,13100,12910,12910,91,12910
2016/01/22,12900,12990,12610,12990,128,12990
2016/01/25,12980,13160,12910,13160,1272,13160
2016/01/26,13190,13190,13160,13170,7,13170
2016/01/27,13240,13240,12810,13150,210,13150
2016/01/28,13180,13290,13180,13290,423,13290
2016/01/29,13210,13300,13190,13300,611,13300
2016/02/01,13660,13660,13410,13430,65,13430
2016/02/02,13630,13630,13500,13600,43,13600
2016/02/03,13590,13590,13430,13470,52,13470
2016/02/04,13450,13450,13260,13260,91,13260
2016/02/05,13340,13370,13180,13190,26,13190
2016/02/08,13050,13150,13010,13070,43,13070
2016/02/09,13190,13190,12530,12920,302,12920
2016/02/10,12920,12950,12700,12700,26,12700
2016/02/12,12700,12700,12380,12570,361,12570
2016/02/15,12810,12810,12470,12610,95,12610
2016/02/16,12600,12690,12600,12630,14,12630
2016/02/17,12500,12830,12500,12600,291,12600
2016/02/18,12840,12880,12600,12800,66,12800
2016/02/19,12870,12880,12860,12880,20,12880
2016/02/22,12880,12990,12880,12990,25,12990
2016/02/23,12930,12990,12840,12910,23,12910
2016/02/24,12950,12950,12950,12950,2,12950
2016/02/25,12950,12950,12810,12810,35,12810
2016/02/26,12930,12940,12920,12920,18,12920
2016/02/29,12940,12940,12860,12900,48,12900
2016/03/01,12940,12950,12940,12950,4,12950
2016/03/02,12810,12940,12810,12930,116,12930
2016/03/03,12950,12960,12940,12960,39,12960
2016/03/04,12960,13000,12960,13000,280,13000
2016/03/07,13000,13040,12970,13040,28,13040
2016/03/08,13000,13090,12990,13090,13,13090
2016/03/09,13080,13080,13080,13080,3,13080
2016/03/10,13080,13100,13080,13100,16,13100
2016/03/11,13150,13180,13020,13180,20,13180
2016/03/14,13200,13400,13190,13210,89,13210
2016/03/15,13350,13350,13130,13310,29,13310
2016/03/16,13210,13340,13170,13340,30,13340
2016/03/17,13330,13330,13330,13330,11,13330
2016/03/18,13230,13340,13230,13230,8,13230
2016/03/22,13350,13350,13300,13350,29,13350
2016/03/23,13350,13360,13230,13330,15,13330
2016/03/24,13240,13340,13230,13340,15,13340
2016/03/25,13340,13340,13240,13330,50,13330
2016/03/28,13350,13360,13350,13360,8,13360
2016/03/29,13350,13360,13350,13350,10,13350
2016/03/30,13350,13350,13020,13020,215,13020
2016/03/31,13050,13300,13050,13080,47,13080
2016/04/01,13140,13300,13130,13130,6,13130
2016/04/04,13160,13280,13160,13280,5,13280
2016/04/05,13270,13270,13250,13260,15,13260
2016/04/06,13280,13290,13260,13270,15,13270
2016/04/07,13270,13330,13250,13250,18,13250
2016/04/08,13210,13210,12990,13090,116,13090
2016/04/11,13090,13190,12900,12980,120,12980
2016/04/12,12930,12980,12930,12930,11,12930
2016/04/13,13000,13020,13000,13000,25,13000
2016/04/14,13060,13060,12970,13040,8,13040
2016/04/15,12740,12990,12740,12990,245,12990
2016/04/18,12980,12990,12900,12900,60,12900
2016/04/19,12960,12960,12900,12960,17,12960
2016/04/20,12960,12960,12820,12890,51,12890
2016/04/21,12810,12920,12810,12920,45,12920
2016/04/22,12840,12930,12770,12820,75,12820
2016/04/25,13020,13050,12950,13050,64,13050
2016/04/26,13050,13050,12960,12990,36,12990
2016/04/27,12980,13010,12930,12930,39,12930
2016/04/28,13050,13050,12950,12950,18,12950
2016/05/02,12950,12950,12800,12830,140,12830
2016/05/06,12850,12970,12770,12770,118,12770
2016/05/09,12720,12840,12710,12840,49,12840
2016/05/10,12790,12790,12770,12780,32,12780
2016/05/11,12790,12800,12790,12800,14,12800
2016/05/12,12920,12920,12830,12830,16,12830
2016/05/13,12900,12900,12810,12900,13,12900
2016/05/16,12850,12850,12750,12850,19,12850
2016/05/17,12730,12840,12730,12840,63,12840
2016/05/19,12830,12830,12780,12830,16,12830
2016/05/20,12830,12830,12830,12830,4,12830
2016/05/23,12830,12830,12810,12830,3,12830
2016/05/24,12820,12820,12820,12820,2,12820
2016/05/25,12820,12820,12820,12820,1,12820
2016/05/26,12820,12840,12820,12830,11,12830
2016/05/27,12950,12950,12860,12860,141,12860
2016/05/30,12940,12990,12700,12850,180,12850
2016/05/31,12800,12800,12800,12800,46,12800
