2016/01/04,13850,14080,13730,13780,2652,13780
2016/01/05,13810,13810,13660,13700,1323,13700
2016/01/06,13770,13800,13470,13570,2997,13570
2016/01/07,13540,13570,13260,13280,28065,13280
2016/01/08,13130,13400,13100,13220,40580,13220
2016/01/12,13010,13100,12780,12780,18596,12780
2016/01/13,13000,13150,12990,13150,3332,13150
2016/01/14,12790,12840,12600,12830,13672,12830
2016/01/15,13040,13070,12720,12760,9150,12760
2016/01/18,12490,12690,12450,12660,6593,12660
2016/01/19,12610,12700,12540,12670,3062,12670
2016/01/20,12640,12640,12200,12210,17070,12210
2016/01/21,12210,12390,11870,11870,11952,11870
2016/01/22,12170,12570,12170,12560,23726,12560
2016/01/25,12770,12780,12590,12700,23956,12700
2016/01/26,12650,12650,12400,12420,5805,12420
2016/01/27,12700,12800,12650,12780,7253,12780
2016/01/28,12720,12830,12660,12700,1797,12700
2016/01/29,12720,13140,12500,13120,22582,13120
2016/02/01,13360,13400,13250,13400,12819,13400
2016/02/02,13220,13360,13220,13270,3028,13270
2016/02/03,12970,13000,12760,12860,2829,12860
2016/02/04,12720,12780,12620,12700,5516,12700
2016/02/05,12390,12440,12280,12440,6746,12440
2016/02/08,12250,12590,12200,12500,14511,12500
2016/02/09,11980,12040,11780,11820,8593,11820
2016/02/10,11800,11850,11300,11430,15977,11430
2016/02/12,11040,11110,10790,10830,12844,10830
2016/02/15,11430,11820,11340,11730,2127,11730
2016/02/16,11660,11970,11640,11780,1277,11780
2016/02/17,11740,11880,11480,11620,738,11620
2016/02/18,11980,11990,11840,11880,2984,11880
2016/02/19,11760,11760,11660,11760,1406,11760
2016/02/22,11650,11870,11630,11800,1342,11800
2016/02/23,11850,11970,11740,11780,13942,11780
2016/02/24,11600,11700,11520,11650,2791,11650
2016/02/25,11730,11930,11730,11890,997,11890
2016/02/26,12000,12100,11930,11930,18734,11930
2016/02/29,12080,12150,11860,11860,18210,11860
2016/03/01,11790,11840,11700,11810,708,11810
2016/03/02,12170,12340,12130,12270,3050,12270
2016/03/03,12240,12460,12240,12440,15899,12440
2016/03/04,12390,12500,12390,12470,2587,12470
2016/03/07,12460,12460,12350,12380,6625,12380
2016/03/08,12330,12360,12080,12230,26591,12230
2016/03/09,12130,12130,12050,12100,574,12100
2016/03/10,12180,12300,12180,12300,531,12300
2016/03/11,12120,12390,12120,12330,59,12330
2016/03/14,12490,12570,12460,12510,453,12510
2016/03/15,12490,12540,12410,12460,5041,12460
2016/03/16,12350,12450,12340,12360,4252,12360
2016/03/17,12440,12520,12230,12230,1532,12230
2016/03/18,12280,12280,12110,12180,461,12180
2016/03/22,12340,12470,12290,12390,4816,12390
2016/03/23,12440,12460,12340,12350,11610,12350
2016/03/24,12290,12360,12210,12270,26997,12270
2016/03/25,12280,12390,12250,12370,5077,12370
2016/03/28,12470,12510,12380,12510,33719,12510
2016/03/29,12510,12630,12490,12590,35887,12590
2016/03/30,12500,12570,12420,12420,1667,12420
2016/03/31,12460,12510,12310,12310,11603,12310
2016/04/01,12280,12280,11860,11890,21537,11890
2016/04/04,11850,11980,11830,11920,10895,11920
2016/04/05,11840,11840,11580,11590,5768,11590
2016/04/06,11570,11650,11500,11580,13850,11580
2016/04/07,11570,11700,11540,11640,2021,11640
2016/04/08,11440,11920,11440,11780,6672,11780
2016/04/11,11700,11720,11550,11720,1931,11720
2016/04/12,11690,11890,11690,11890,12653,11890
2016/04/13,12000,12210,12000,12170,4192,12170
2016/04/14,12410,12550,12360,12550,7716,12550
2016/04/15,12390,12510,12390,12460,8812,12460
2016/04/18,12040,12150,12020,12070,1903,12070
2016/04/19,12430,12490,12400,12480,555,12480
2016/04/20,12590,12650,12500,12500,4298,12500
2016/04/21,12680,12780,12680,12780,2244,12780
2016/04/22,12670,12910,12660,12900,2279,12900
2016/04/25,12930,12960,12830,12880,1496,12880
2016/04/26,12780,12810,12660,12770,1372,12770
2016/04/27,12770,12790,12680,12680,835,12680
2016/04/28,12820,12860,12160,12270,8757,12270
2016/05/02,11770,11900,11770,11880,5651,11880
2016/05/06,11970,12000,11800,11900,1072,11900
2016/05/09,11970,12010,11930,11960,978,11960
2016/05/10,12010,12220,11990,12210,33752,12210
2016/05/11,12360,12390,12180,12180,6083,12180
2016/05/12,12060,12220,12060,12210,427,12210
2016/05/13,12290,12290,12060,12060,76,12060
2016/05/16,12090,12210,12090,12100,1580,12100
2016/05/17,12190,12240,12150,12240,17151,12240
2016/05/18,12210,12350,12170,12270,1933,12270
2016/05/19,12390,12390,12220,12220,226,12220
2016/05/20,12210,12300,12210,12300,3640,12300
2016/05/23,12240,12240,12070,12230,916,12230
2016/05/24,12220,12220,12120,12140,2195,12140
2016/05/25,12340,12390,12250,12280,20515,12280
2016/05/26,12380,12410,12250,12260,10248,12260
2016/05/27,12310,12340,12300,12340,1432,12340
2016/05/30,12420,12450,12390,12450,2179,12450
2016/05/31,12450,12620,12440,12590,3660,12590
