1301,東証1部,1000
1305,東証,10
1306,東証,10
1308,東証,100
1309,東証,1
1310,東証,10
1311,東証,10
1312,東証,1
1313,東証,10
1314,東証,100
1316,東証,10
1317,東証,10
1318,東証,10
1319,東証,1000
1320,東証,1
1321,東証,1
1322,東証,10
1323,東証,100
1324,東証,100
1325,東証,100
1326,東証,1
1327,東証,1
1328,東証,10
1329,東証,1
1330,東証,10
1332,東証1部,100
1333,東証1部,100
1334,東証1部,1000
1343,東証,10
1344,東証,10
1345,東証,100
1346,東証,1
1347,東証,10
1348,東証,10
1349,東証,1
1352,東証1部,1000
1356,東証,10
1357,東証,1
1358,東証,1
1360,東証,10
1361,東証,1
1362,東証,1
1363,東証,1
1364,東証,1
1365,東証,1
1366,東証,1
1367,東証,1
1368,東証,1
1369,東証,1
1376,東証1部,100
1377,東証1部,100
1378,東証2部,100
1379,東証1部,100
1380,東証JQS,1000
1381,東証JQS,100
1382,東証JQS,100
1383,東証JQS,100
1384,東証1部,100
1385,東証,1
1386,東証,1
1387,東証,1
1388,東証,1
1389,東証,1
1390,東証,1
1391,東証,1
1392,東証,1
1393,東証,1
1394,東証,1
1397,東証,1
1398,東証,10
1399,東証,10
